Country,Job_Role,Work_From_Home,Coffee_Consumption,Productivity_Score,Sleep_Hours,Stress_Level,Age_Group
Germany,Designer,Yes,0.1,68.01461510425649,5.7,4,26-35
Canada,Designer,Yes,2.6053176215278944,81.42127942501384,7.9,2,18-25
South Korea,HR Manager,Yes,2.279484610246634,91.73752600665031,7.4,10,26-35
Japan,Data Scientist,No,1.1071705116680914,61.97938836547761,4.3,1,46-60
Brazil,Designer,Yes,4.728561113109458,89.93605654757806,8.3,3,60+
UK,Designer,No,4.293251387631033,77.06149220032007,6.9,10,46-60
Germany,HR Manager,Yes,2.7849293110196838,61.429326953624525,5.0,5,46-60
Australia,Data Scientist,Yes,2.0958313469814684,64.67228394993512,5.3,2,60+
Australia,Sales Executive,No,1.878893680174142,87.29272136336415,7.4,6,26-35
South Korea,Software Engineer,Yes,0.3832991230484232,68.05102269383175,4.8,8,60+
Germany,Designer,Yes,1.5878490091728361,62.11526386252975,5.3,4,36-45
Brazil,Product Manager,No,0.9226879747925731,75.00851377730773,6.9,5,36-45
Canada,HR Manager,No,0.3348166841414312,57.10340385992736,5.4,10,18-25
UK,Software Engineer,Yes,0.6365347642109584,71.3453498002904,6.5,1,18-25
Canada,Product Manager,Yes,3.6404959338675162,55.83436513563102,4.6,10,60+
Japan,Software Engineer,No,1.4792977895037023,71.97278931758893,5.3,8,36-45
South Korea,Sales Executive,No,2.8843157787661746,78.41194350481915,7.1,8,60+
USA,Sales Executive,No,1.306758608684835,75.11893975819449,6.4,10,36-45
Australia,Software Engineer,Yes,3.8468325129969863,87.91788551963624,7.8,4,36-45
Australia,Data Scientist,Yes,0.8749672025087692,68.94196636724043,5.3,6,60+
Brazil,HR Manager,No,1.2498256825438205,96.63466212936811,7.4,9,60+
India,Data Scientist,No,1.6882784815278833,47.3456561353984,4.0,1,36-45
Brazil,Product Manager,No,3.3652628070325235,48.55280278740888,4.1,6,46-60
Brazil,Designer,No,4.579055436750034,79.22080438534536,6.4,10,18-25
Australia,Software Engineer,Yes,2.3069899553671114,63.409457448131555,5.0,8,26-35
Germany,HR Manager,Yes,2.706262911197099,73.23353662868017,5.4,10,46-60
UK,Sales Executive,No,4.485502494538964,70.91964092662982,5.8,9,26-35
Canada,Sales Executive,Yes,3.2375410837434835,65.2035395460647,5.7,7,26-35
France,HR Manager,No,3.032887255572378,96.95327415346155,8.4,4,36-45
France,Sales Executive,Yes,0.46923328999770475,100.0,8.7,7,18-25
Canada,Software Engineer,No,3.2958508573224243,93.10241090598682,7.9,8,36-45
India,Designer,Yes,3.4347494261947364,74.53637015553649,6.2,8,36-45
UK,Product Manager,Yes,2.523490296882371,76.33337344794577,6.1,4,60+
Canada,Designer,Yes,4.013587392731214,90.84647795222837,7.5,5,18-25
Japan,HR Manager,No,0.10734320156912072,81.91079495518764,6.5,9,60+
Brazil,Software Engineer,Yes,2.1511785260480143,97.24354943794822,8.4,5,36-45
France,Sales Executive,Yes,1.9083707436671125,88.16440959841573,7.9,4,18-25
Canada,Designer,No,3.339307079173503,76.73356843216662,6.6,5,60+
France,Sales Executive,Yes,0.9874287066711964,90.03254483254179,7.4,7,26-35
Canada,Data Scientist,No,2.156892975456105,48.91532164506382,4.3,7,60+
Japan,HR Manager,Yes,1.3770008817466013,71.8433665443645,6.0,7,26-35
Australia,HR Manager,No,1.5535452023696734,83.0333059383632,7.5,4,26-35
India,Product Manager,Yes,0.48237883879031274,61.143724114674086,5.1,7,18-25
UK,Sales Executive,No,5.258930973527388,81.39225931303649,6.5,4,26-35
Canada,HR Manager,Yes,0.9435708175362819,72.95549534009952,6.2,7,60+
France,Product Manager,No,3.676713557878737,53.23218274078074,4.3,10,60+
USA,HR Manager,No,0.5051851327167315,70.2007192951004,6.7,7,18-25
Germany,Designer,No,1.2554537827990022,100.0,9.0,7,18-25
Germany,Software Engineer,No,1.4653702886430457,87.22742090570537,7.4,3,36-45
UK,Product Manager,Yes,5.1803922631841175,81.8162736165273,6.1,8,36-45
Canada,HR Manager,No,4.693542301871226,51.461108825234994,4.3,7,36-45
Australia,HR Manager,No,0.44944815220535506,99.0957516383197,8.8,9,26-35
UK,Designer,Yes,2.6815906966299954,81.24691841855378,7.0,5,60+
France,Data Scientist,Yes,1.2003124885231138,71.88726639881737,5.4,8,18-25
USA,Software Engineer,No,4.276742523966489,61.52352233806524,5.2,1,26-35
Australia,HR Manager,No,4.498903673783053,88.39510762885169,7.7,3,26-35
UK,Product Manager,Yes,0.5873170267146675,92.0394825485827,7.9,7,36-45
Canada,HR Manager,No,1.402025428407269,71.9330456157818,6.1,4,36-45
Germany,HR Manager,No,4.105838144420434,64.76783192724736,5.7,7,18-25
India,Product Manager,Yes,0.1,50.970449964491536,4.0,5,46-60
UK,Product Manager,Yes,3.5308678494144075,91.36815874929886,7.6,9,36-45
Japan,Software Engineer,No,1.0836526259529533,89.8674235029447,8.5,8,46-60
Australia,Product Manager,No,2.7967768398712134,57.66484837073438,4.7,8,26-35
Japan,Sales Executive,No,1.5184799223186334,82.49939592530413,7.6,4,46-60
France,Product Manager,No,5.033759240705055,99.97523314462421,8.4,8,60+
USA,HR Manager,No,4.590164056081244,70.38406547608113,6.8,8,60+
Japan,Designer,Yes,2.5310874800424386,92.20539076364206,8.5,9,26-35
South Korea,Designer,Yes,3.2112724560515944,53.8860593753226,4.2,9,26-35
Canada,Designer,Yes,0.1,70.8276201461717,5.3,7,36-45
Australia,Product Manager,Yes,5.14302572999922,85.67124869463507,7.6,6,60+
Canada,HR Manager,Yes,4.112046240905208,72.22400236653401,6.5,2,60+
Brazil,Data Scientist,No,1.3843224952664448,74.40578534720295,5.5,10,46-60
Canada,Designer,Yes,0.41813772359801216,48.75993049791878,4.6,9,60+
Canada,Designer,Yes,0.9834371337222632,51.00597021689959,5.2,2,18-25
Japan,Sales Executive,Yes,3.6615389998470205,88.20007225026666,7.6,5,18-25
India,Data Scientist,Yes,1.4160249686788182,51.489728878236946,4.4,3,18-25
India,Product Manager,No,1.1737159243034199,85.89383591434644,8.1,7,18-25
South Korea,HR Manager,Yes,3.4426317792665504,98.54178223649677,8.5,3,36-45
Australia,Data Scientist,No,2.943359877671101,65.219003568856,5.4,8,26-35
UK,Software Engineer,No,1.610501920816379,70.17960684631636,6.3,3,60+
France,Designer,Yes,1.5351198981164804,58.59847800664553,5.5,10,60+
UK,Sales Executive,Yes,4.238085419607943,93.36228664140073,7.9,5,18-25
France,Designer,No,0.2051165305097926,97.2510058897933,8.4,8,36-45
Australia,Software Engineer,Yes,4.211030079997244,62.50412068110309,5.3,5,46-60
France,Sales Executive,No,3.0120599085260777,71.23318498023833,5.2,1,46-60
Canada,Designer,No,2.9386841538238095,50.64957616836924,4.6,7,46-60
Canada,Data Scientist,Yes,1.440287882883099,90.37237414537631,8.8,1,18-25
Japan,HR Manager,No,1.6388324478942122,58.540459650593775,5.2,3,26-35
Australia,Software Engineer,No,3.836041204259617,49.77206991822251,4.0,1,18-25
Germany,Data Scientist,No,4.534928472816158,84.21669724661346,7.3,5,36-45
USA,HR Manager,No,2.132877597085061,73.79381971071835,6.5,2,26-35
France,Designer,Yes,2.015499761247976,73.76027698257148,6.2,4,60+
South Korea,Software Engineer,Yes,4.900855861049471,70.74230287904778,6.7,3,18-25
South Korea,Software Engineer,No,4.562041984697398,90.2188230203663,7.3,3,26-35
Brazil,Sales Executive,Yes,4.7464848200227205,94.58924410803715,8.5,1,60+
Australia,Data Scientist,Yes,4.738345399665009,80.58647915794064,6.5,2,18-25
South Korea,Product Manager,Yes,4.734836274415019,53.71362673188852,4.2,8,18-25
Australia,Data Scientist,Yes,3.3425763876570675,92.28376609576893,8.0,10,26-35
UK,HR Manager,Yes,1.2813769228367717,73.84883640116102,6.1,4,18-25
Australia,Designer,Yes,3.2635855436715633,91.23854280008658,7.9,7,46-60
India,Software Engineer,No,3.923131917821255,84.21361379933772,7.1,4,36-45
France,Software Engineer,Yes,2.765631715701782,59.64576265066216,4.3,10,18-25
Japan,HR Manager,Yes,1.5718091447842308,96.98260584850735,8.6,9,60+
France,Designer,Yes,0.7644808471908384,81.54501878794257,6.8,9,46-60
Brazil,Data Scientist,No,4.816959511159006,97.55132152856386,8.8,6,26-35
South Korea,Software Engineer,Yes,5.861078098506317,65.20058607724737,4.8,8,36-45
India,Sales Executive,Yes,4.8871118497567325,60.61803848970365,5.4,10,18-25
France,Product Manager,Yes,5.1067548180003195,100.0,8.5,6,60+
Japan,Data Scientist,Yes,0.5010610537055756,62.79921024677828,5.3,1,60+
South Korea,Software Engineer,No,2.2126591648863396,63.84612448940976,6.1,4,26-35
Canada,Data Scientist,Yes,3.299529847786735,87.64052207455394,7.7,2,36-45
Germany,Product Manager,No,3.655439980243606,65.59474171262559,5.9,2,26-35
France,Product Manager,No,2.128199397161737,67.20321774494361,5.3,9,46-60
Brazil,Product Manager,Yes,3.6751968932381036,93.73688010348805,8.7,10,46-60
Japan,Data Scientist,Yes,4.124801048510513,49.7690828339261,4.2,2,26-35
Australia,Product Manager,Yes,4.2388384109492545,60.552296345272346,6.0,1,46-60
Australia,Sales Executive,No,2.546528412314435,83.73846840375461,7.6,10,26-35
UK,Designer,No,2.3461652671906097,61.88060336685522,6.4,5,46-60
Germany,Software Engineer,Yes,4.573548690585019,54.08048588257138,5.2,9,18-25
USA,HR Manager,Yes,4.548492336616594,84.80207328072149,7.1,4,60+
Brazil,Designer,Yes,2.424668284466934,64.92900079325416,5.1,7,26-35
Germany,Sales Executive,No,1.9732241047484878,59.12728780892483,4.7,7,26-35
Japan,Designer,Yes,0.1,59.165119284353935,5.4,10,60+
Germany,Designer,Yes,2.1827064333124264,78.7614432192901,6.9,4,36-45
India,Designer,Yes,4.32557180389752,61.98198730454716,5.2,9,18-25
Japan,Sales Executive,No,3.3643755548298424,76.20817655403728,7.2,7,26-35
India,Product Manager,No,2.6231753473264092,67.51699150883576,5.0,5,36-45
Germany,HR Manager,No,4.493876613576543,70.38681145287836,5.6,1,60+
South Korea,Product Manager,No,2.342365377679827,97.89517913085169,8.9,6,60+
South Korea,HR Manager,No,3.907083350021712,88.13442919497265,7.8,1,46-60
South Korea,HR Manager,No,4.34530627260263,85.04191403973776,7.4,3,18-25
Brazil,Software Engineer,No,2.6086001345178316,77.79132565787855,7.8,3,46-60
UK,Sales Executive,No,2.2328243844607774,69.76411308739702,6.1,5,46-60
Brazil,HR Manager,No,1.5766031409657975,63.59007876001101,5.7,1,18-25
USA,HR Manager,No,1.369018283232984,50.99189995052542,4.6,9,18-25
Canada,Software Engineer,Yes,3.743092950605265,72.59449853557022,6.4,1,26-35
Australia,Data Scientist,No,1.7206366445330574,90.98843263424762,7.2,10,36-45
Germany,Product Manager,Yes,2.3407778893737823,78.20421430633505,6.5,10,46-60
South Korea,Software Engineer,Yes,4.637047390209887,64.14410505108602,5.7,4,46-60
Australia,HR Manager,Yes,1.3286427417366156,69.86291390678079,5.7,2,18-25
